"Agriculture Year",District,Crop,Area,"Area Unit",Production,"Production Unit",Productivity,"Productivity Unit"
2001-02,Thiruvananthapuram,Paddy,6810,Hectare,14686,MT,2157,"Kg/ Hectare"
2001-02,Kollam,Paddy,11459,Hectare,24933,MT,2176,"Kg/ Hectare"
2001-02,Pathanamthitta,Paddy,5218,Hectare,12855,MT,2464,"Kg/ Hectare"
2001-02,Alappuzha,Paddy,33111,Hectare,72799,MT,2199,"Kg/ Hectare"
2001-02,Kottayam,Paddy,15250,Hectare,34651,MT,2272,"Kg/ Hectare"
2001-02,Idukki,Paddy,4388,Hectare,10726,MT,2444,"Kg/ Hectare"
2001-02,Ernakulam,Paddy,32905,Hectare,59723,MT,1815,"Kg/ Hectare"
2001-02,Thrissur,Paddy,37012,Hectare,84281,MT,2277,"Kg/ Hectare"
2001-02,Palakkad,Paddy,115904,Hectare,269302,MT,2323,"Kg/ Hectare"
2001-02,Malappuram,Paddy,22654,Hectare,44059,MT,1945,"Kg/ Hectare"
2001-02,Kozhikode,Paddy,6402,Hectare,8313,MT,1299,"Kg/ Hectare"
2001-02,Wayanad,Paddy,12855,Hectare,32076,MT,2495,"Kg/ Hectare"
2001-02,Kannur,Paddy,10987,Hectare,19463,MT,1771,"Kg/ Hectare"
2001-02,Kasaragod,Paddy,7413,Hectare,15637,MT,2109,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Tapioca,25085,Hectare,455574,MT,18161,"Kg/ Hectare"
2001-02,Kollam,Tapioca,26114,Hectare,559896,MT,21440,"Kg/ Hectare"
2001-02,Pathanamthitta,Tapioca,8833,Hectare,199315,MT,22565,"Kg/ Hectare"
2001-02,Alappuzha,Tapioca,4367,Hectare,72694,MT,16646,"Kg/ Hectare"
2001-02,Kottayam,Tapioca,7780,Hectare,201964,MT,25959,"Kg/ Hectare"
2001-02,Idukki,Tapioca,8224,Hectare,261523,MT,31800,"Kg/ Hectare"
2001-02,Ernakulam,Tapioca,5777,Hectare,143424,MT,24827,"Kg/ Hectare"
2001-02,Thrissur,Tapioca,1405,Hectare,27823,MT,19803,"Kg/ Hectare"
2001-02,Palakkad,Tapioca,5649,Hectare,133313,MT,23599,"Kg/ Hectare"
2001-02,Malappuram,Tapioca,7206,Hectare,166980,MT,23172,"Kg/ Hectare"
2001-02,Kozhikode,Tapioca,4311,Hectare,71503,MT,16586,"Kg/ Hectare"
2001-02,Wayanad,Tapioca,1692,Hectare,58724,MT,34707,"Kg/ Hectare"
2001-02,Kannur,Tapioca,3420,Hectare,73011,MT,21348,"Kg/ Hectare"
2001-02,Kasaragod,Tapioca,1326,Hectare,30136,MT,22727,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Banana,2333,Hectare,13637,MT,5845,"Kg/ Hectare"
2001-02,Kollam,Banana,1613,Hectare,12400,MT,7688,"Kg/ Hectare"
2001-02,Pathanamthitta,Banana,2083,Hectare,15173,MT,7284,"Kg/ Hectare"
2001-02,Alappuzha,Banana,553,Hectare,3372,MT,6098,"Kg/ Hectare"
2001-02,Kottayam,Banana,3260,Hectare,25831,MT,7924,"Kg/ Hectare"
2001-02,Idukki,Banana,1567,Hectare,13252,MT,8457,"Kg/ Hectare"
2001-02,Ernakulam,Banana,5447,Hectare,38650,MT,7096,"Kg/ Hectare"
2001-02,Thrissur,Banana,2828,Hectare,17361,MT,6139,"Kg/ Hectare"
2001-02,Palakkad,Banana,7414,Hectare,66041,MT,8908,"Kg/ Hectare"
2001-02,Malappuram,Banana,8420,Hectare,55835,MT,6631,"Kg/ Hectare"
2001-02,Kozhikode,Banana,1949,Hectare,14909,MT,7650,"Kg/ Hectare"
2001-02,Wayanad,Banana,10174,Hectare,75264,MT,7398,"Kg/ Hectare"
2001-02,Kannur,Banana,2480,Hectare,17736,MT,7152,"Kg/ Hectare"
2001-02,Kasaragod,Banana,750,Hectare,6442,MT,8589,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Plantain,5278,Hectare,40824,MT,7735,"Kg/ Hectare"
2001-02,Kollam,Plantain,4391,Hectare,33582,MT,7648,"Kg/ Hectare"
2001-02,Pathanamthitta,Plantain,2536,Hectare,21837,MT,8611,"Kg/ Hectare"
2001-02,Alappuzha,Plantain,2542,Hectare,14573,MT,5733,"Kg/ Hectare"
2001-02,Kottayam,Plantain,3653,Hectare,32041,MT,8771,"Kg/ Hectare"
